system   I             system.c:245  al_install_system                [   0.00048] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00086] Also searching C:\Users\Administrador\Desktop\Tp3-Graficos\Tp3-Graficos\bin\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00104] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00106] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00420] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.07159] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.07209] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.07212] al_display=0571E290
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.07215] al_display->vt=0349F0C8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07675] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.07681] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07685] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07687] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07689] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07691] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07694] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07697] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07700] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.07703] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07707] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.07709] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07713] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.07716] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07719] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.07722] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07726] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.07728] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07732] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.07735] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07739] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07742] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07746] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07749] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07759] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07762] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07766] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.07769] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07773] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.07776] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07780] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.07783] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07787] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.07789] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07793] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.07796] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07800] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.07803] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07807] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07810] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07813] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07816] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07820] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07826] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.07829] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07833] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.07836] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07839] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.07842] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07846] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.07848] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07852] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.07854] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07858] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.07860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07864] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07867] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07870] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07873] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07876] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07879] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07882] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.07885] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07889] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.07891] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07895] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.07898] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07901] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.07904] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07908] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.07911] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07914] Score is : 712
